SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0.2222,0.625,0.0678,0.0417,Iris-setosa
0.1667,0.4167,0.0678,0.0417,Iris-setosa
0.1111,0.5,0.0508,0.0417,Iris-setosa
0.0833,0.4583,0.0847,0.0417,Iris-setosa
0.1944,0.6667,0.0678,0.0417,Iris-setosa
0.3056,0.7917,0.1186,0.125,Iris-setosa
0.0833,0.5833,0.0678,0.0833,Iris-setosa
0.1944,0.5833,0.0847,0.0417,Iris-setosa
0.0278,0.375,0.0678,0.0417,Iris-setosa
0.1667,0.4583,0.0847,0.0,Iris-setosa
0.3056,0.7083,0.0847,0.0417,Iris-setosa
0.1389,0.5833,0.1017,0.0417,Iris-setosa
0.1389,0.4167,0.0678,0.0,Iris-setosa
0.0,0.4167,0.0169,0.0,Iris-setosa
0.4167,0.8333,0.0339,0.0417,Iris-setosa
0.3889,1.0,0.0847,0.125,Iris-setosa
0.3056,0.7917,0.0508,0.125,Iris-setosa
0.2222,0.625,0.0678,0.0833,Iris-setosa
0.3889,0.75,0.1186,0.0833,Iris-setosa
0.2222,0.75,0.0847,0.0833,Iris-setosa
0.3056,0.5833,0.1186,0.0417,Iris-setosa
0.2222,0.7083,0.0847,0.125,Iris-setosa
0.0833,0.6667,0.0,0.0417,Iris-setosa
0.2222,0.5417,0.1186,0.1667,Iris-setosa
0.1389,0.5833,0.1525,0.0417,Iris-setosa
0.1944,0.4167,0.1017,0.0417,Iris-setosa
0.1944,0.5833,0.1017,0.125,Iris-setosa
0.25,0.625,0.0847,0.0417,Iris-setosa
0.25,0.5833,0.0678,0.0417,Iris-setosa
0.1111,0.5,0.1017,0.0417,Iris-setosa
0.1389,0.4583,0.1017,0.0417,Iris-setosa
0.3056,0.5833,0.0847,0.125,Iris-setosa
0.25,0.875,0.0847,0.0,Iris-setosa
0.3333,0.9167,0.0678,0.0417,Iris-setosa
0.1667,0.4583,0.0847,0.0,Iris-setosa
0.1944,0.5,0.0339,0.0417,Iris-setosa
0.3333,0.625,0.0508,0.0417,Iris-setosa
0.1667,0.4583,0.0847,0.0,Iris-setosa
0.0278,0.4167,0.0508,0.0417,Iris-setosa
0.2222,0.5833,0.0847,0.0417,Iris-setosa
0.1944,0.625,0.0508,0.0833,Iris-setosa
0.0556,0.125,0.0508,0.0833,Iris-setosa
0.0278,0.5,0.0508,0.0417,Iris-setosa
0.1944,0.625,0.1017,0.2083,Iris-setosa
0.2222,0.75,0.1525,0.125,Iris-setosa
0.1389,0.4167,0.0678,0.0833,Iris-setosa
0.2222,0.75,0.1017,0.0417,Iris-setosa
0.0833,0.5,0.0678,0.0417,Iris-setosa
0.2778,0.7083,0.0847,0.0417,Iris-setosa
0.1944,0.5417,0.0678,0.0417,Iris-setosa
0.75,0.5,0.6271,0.5417,Iris-versicolor
0.5833,0.5,0.5932,0.5833,Iris-versicolor
0.7222,0.4583,0.661,0.5833,Iris-versicolor
0.3333,0.125,0.5085,0.5,Iris-versicolor
0.6111,0.3333,0.6102,0.5833,Iris-versicolor
0.3889,0.3333,0.5932,0.5,Iris-versicolor
0.5556,0.5417,0.6271,0.625,Iris-versicolor
0.1667,0.1667,0.3898,0.375,Iris-versicolor
0.6389,0.375,0.6102,0.5,Iris-versicolor
0.25,0.2917,0.4915,0.5417,Iris-versicolor
0.1944,0.0,0.4237,0.375,Iris-versicolor
0.4444,0.4167,0.5424,0.5833,Iris-versicolor
0.4722,0.0833,0.5085,0.375,Iris-versicolor
0.5,0.375,0.6271,0.5417,Iris-versicolor
0.3611,0.375,0.4407,0.5,Iris-versicolor
0.6667,0.4583,0.5763,0.5417,Iris-versicolor
0.3611,0.4167,0.5932,0.5833,Iris-versicolor
0.4167,0.2917,0.5254,0.375,Iris-versicolor
0.5278,0.0833,0.5932,0.5833,Iris-versicolor
0.3611,0.2083,0.4915,0.4167,Iris-versicolor
0.4444,0.5,0.6441,0.7083,Iris-versicolor
0.5,0.3333,0.5085,0.5,Iris-versicolor
0.5556,0.2083,0.661,0.5833,Iris-versicolor
0.5,0.3333,0.6271,0.4583,Iris-versicolor
0.5833,0.375,0.5593,0.5,Iris-versicolor
0.6389,0.4167,0.5763,0.5417,Iris-versicolor
0.6944,0.3333,0.6441,0.5417,Iris-versicolor
0.6667,0.4167,0.678,0.6667,Iris-versicolor
0.4722,0.375,0.5932,0.5833,Iris-versicolor
0.3889,0.25,0.4237,0.375,Iris-versicolor
0.3333,0.1667,0.4746,0.4167,Iris-versicolor
0.3333,0.1667,0.4576,0.375,Iris-versicolor
0.4167,0.2917,0.4915,0.4583,Iris-versicolor
0.4722,0.2917,0.6949,0.625,Iris-versicolor
0.3056,0.4167,0.5932,0.5833,Iris-versicolor
0.4722,0.5833,0.5932,0.625,Iris-versicolor
0.6667,0.4583,0.6271,0.5833,Iris-versicolor
0.5556,0.125,0.5763,0.5,Iris-versicolor
0.3611,0.4167,0.5254,0.5,Iris-versicolor
0.3333,0.2083,0.5085,0.5,Iris-versicolor
0.3333,0.25,0.5763,0.4583,Iris-versicolor
0.5,0.4167,0.6102,0.5417,Iris-versicolor
0.4167,0.25,0.5085,0.4583,Iris-versicolor
0.1944,0.125,0.3898,0.375,Iris-versicolor
0.3611,0.2917,0.5424,0.5,Iris-versicolor
0.3889,0.4167,0.5424,0.4583,Iris-versicolor
0.3889,0.375,0.5424,0.5,Iris-versicolor
0.5278,0.375,0.5593,0.5,Iris-versicolor
0.2222,0.2083,0.339,0.4167,Iris-versicolor
0.3889,0.3333,0.5254,0.5,Iris-versicolor
0.5556,0.5417,0.8475,1.0,Iris-virginica
0.4167,0.2917,0.6949,0.75,Iris-virginica
0.7778,0.4167,0.8305,0.8333,Iris-virginica
0.5556,0.375,0.7797,0.7083,Iris-virginica
0.6111,0.4167,0.8136,0.875,Iris-virginica
0.9167,0.4167,0.9492,0.8333,Iris-virginica
0.1667,0.2083,0.5932,0.6667,Iris-virginica
0.8333,0.375,0.8983,0.7083,Iris-virginica
0.6667,0.2083,0.8136,0.7083,Iris-virginica
0.8056,0.6667,0.8644,1.0,Iris-virginica
0.6111,0.5,0.6949,0.7917,Iris-virginica
0.5833,0.2917,0.7288,0.75,Iris-virginica
0.6944,0.4167,0.7627,0.8333,Iris-virginica
0.3889,0.2083,0.678,0.7917,Iris-virginica
0.4167,0.3333,0.6949,0.9583,Iris-virginica
0.5833,0.5,0.7288,0.9167,Iris-virginica
0.6111,0.4167,0.7627,0.7083,Iris-virginica
0.9444,0.75,0.9661,0.875,Iris-virginica
0.9444,0.25,1.0,0.9167,Iris-virginica
0.4722,0.0833,0.678,0.5833,Iris-virginica
0.7222,0.5,0.7966,0.9167,Iris-virginica
0.3611,0.3333,0.661,0.7917,Iris-virginica
0.9444,0.3333,0.9661,0.7917,Iris-virginica
0.5556,0.2917,0.661,0.7083,Iris-virginica
0.6667,0.5417,0.7966,0.8333,Iris-virginica
0.8056,0.5,0.8475,0.7083,Iris-virginica
0.5278,0.3333,0.6441,0.7083,Iris-virginica
0.5,0.4167,0.661,0.7083,Iris-virginica
0.5833,0.3333,0.7797,0.8333,Iris-virginica
0.8056,0.4167,0.8136,0.625,Iris-virginica
0.8611,0.3333,0.8644,0.75,Iris-virginica
1.0,0.75,0.9153,0.7917,Iris-virginica
0.5833,0.3333,0.7797,0.875,Iris-virginica
0.5556,0.3333,0.6949,0.5833,Iris-virginica
0.5,0.25,0.7797,0.5417,Iris-virginica
0.9444,0.4167,0.8644,0.9167,Iris-virginica
0.5556,0.5833,0.7797,0.9583,Iris-virginica
0.5833,0.4583,0.7627,0.7083,Iris-virginica
0.4722,0.4167,0.6441,0.7083,Iris-virginica
0.7222,0.4583,0.7458,0.8333,Iris-virginica
0.6667,0.4583,0.7797,0.9583,Iris-virginica
0.7222,0.4583,0.6949,0.9167,Iris-virginica
0.4167,0.2917,0.6949,0.75,Iris-virginica
0.6944,0.5,0.8305,0.9167,Iris-virginica
0.6667,0.5417,0.7966,1.0,Iris-virginica
0.6667,0.4167,0.7119,0.9167,Iris-virginica
0.5556,0.2083,0.678,0.75,Iris-virginica
0.6111,0.4167,0.7119,0.7917,Iris-virginica
0.5278,0.5833,0.7458,0.9167,Iris-virginica
0.4444,0.4167,0.6949,0.7083,Iris-virginica
