SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
-0.9007,1.0321,-1.3413,-1.313,Iris-setosa
-1.143,-0.125,-1.3413,-1.313,Iris-setosa
-1.3854,0.3378,-1.3981,-1.313,Iris-setosa
-1.5065,0.1064,-1.2844,-1.313,Iris-setosa
-1.0218,1.2635,-1.3413,-1.313,Iris-setosa
-0.5372,1.9577,-1.1707,-1.05,Iris-setosa
-1.5065,0.8007,-1.3413,-1.1815,Iris-setosa
-1.0218,0.8007,-1.2844,-1.313,Iris-setosa
-1.7489,-0.3564,-1.3413,-1.313,Iris-setosa
-1.143,0.1064,-1.2844,-1.4444,Iris-setosa
-0.5372,1.4949,-1.2844,-1.313,Iris-setosa
-1.2642,0.8007,-1.2275,-1.313,Iris-setosa
-1.2642,-0.125,-1.3413,-1.4444,Iris-setosa
-1.87,-0.125,-1.5119,-1.4444,Iris-setosa
-0.0525,2.1891,-1.455,-1.313,Iris-setosa
-0.1737,3.1147,-1.2844,-1.05,Iris-setosa
-0.5372,1.9577,-1.3981,-1.05,Iris-setosa
-0.9007,1.0321,-1.3413,-1.1815,Iris-setosa
-0.1737,1.7263,-1.1707,-1.1815,Iris-setosa
-0.9007,1.7263,-1.2844,-1.1815,Iris-setosa
-0.5372,0.8007,-1.1707,-1.313,Iris-setosa
-0.9007,1.4949,-1.2844,-1.05,Iris-setosa
-1.5065,1.2635,-1.5687,-1.313,Iris-setosa
-0.9007,0.5693,-1.1707,-0.9186,Iris-setosa
-1.2642,0.8007,-1.0569,-1.313,Iris-setosa
-1.0218,-0.125,-1.2275,-1.313,Iris-setosa
-1.0218,0.8007,-1.2275,-1.05,Iris-setosa
-0.7795,1.0321,-1.2844,-1.313,Iris-setosa
-0.7795,0.8007,-1.3413,-1.313,Iris-setosa
-1.3854,0.3378,-1.2275,-1.313,Iris-setosa
-1.2642,0.1064,-1.2275,-1.313,Iris-setosa
-0.5372,0.8007,-1.2844,-1.05,Iris-setosa
-0.7795,2.4205,-1.2844,-1.4444,Iris-setosa
-0.416,2.6519,-1.3413,-1.313,Iris-setosa
-1.143,0.1064,-1.2844,-1.4444,Iris-setosa
-1.0218,0.3378,-1.455,-1.313,Iris-setosa
-0.416,1.0321,-1.3981,-1.313,Iris-setosa
-1.143,0.1064,-1.2844,-1.4444,Iris-setosa
-1.7489,-0.125,-1.3981,-1.313,Iris-setosa
-0.9007,0.8007,-1.2844,-1.313,Iris-setosa
-1.0218,1.0321,-1.3981,-1.1815,Iris-setosa
-1.6277,-1.7448,-1.3981,-1.1815,Iris-setosa
-1.7489,0.3378,-1.3981,-1.313,Iris-setosa
